Region,Location,Link,Details,Google Maps URL
,Kytömaan haavikko,https://www.keskiuudenmaanluonto.fi/sivu.tmpl?sivu_id=5688,-,"https://www.google.com/maps/@60.4147800,25.1344600,17z"
,Ollilanlampi ja nevat,https://www.keskiuudenmaanluonto.fi/sivu.tmpl?sivu_id=5853,-,"https://www.google.com/maps/@60.3950215,25.1344231,17z"
,Myllypuron meanderilaakso,https://www.keskiuudenmaanluonto.fi/sivu.tmpl?sivu_id=5852,-,"https://www.google.com/maps/@60.4147800,25.1344600,17z"
Forssa/Somero,,,,
,Komio luonnonsuojelualue,,-,"https://www.google.com/maps/@60.6753593,24.3033190,17z"
,Iso-Melkutin,,"Short route, 7 km. There's a 22 km route nearby, part of Ilvesreitti, Liesjärvi",
,Ruostejärvi,,-,
,Saaren kansanpuisto,,-,
,Torronsuon kansallispuisto,,-,
Lohja,,,,
,Korpudden (Raasepori),https://uuvi.fi/en/area/korpudden/,-,
,Korkberget,https://retkipaikka.fi/uudenmaan-pisin-luolasto-korkberget/,Uusimaa's longest cave,
,Torholan luola,,Cave system,
,Heimoonkruoppi,https://retkipaikka.fi/heimoonkruoppi-piilotteleva-paratiisi-yllattavassa-paikassa/,Nice valley,"https://www.google.com/maps/@60.4923683,23.8794299,17z"
,Hyyppäränharju / Kultalähde,https://retkipaikka.fi/kultalahteen-uhrilahde-ja-hyypparanharjun-puhuva-metsa-salon-kiikalassa/,Ridge and water source,"https://www.google.com/maps/@60.45743,23.62760,15z"
,Liessaaren vanha louhos,,Old quarry,"https://www.google.com/maps/@60.2439926,23.9851531,17z"
Porvoo-Kouvola,,,,
,Virvikin luontopolku,https://www.porvoo.fi/virvikin-luontopolku,-,
,Lapinjärvi,http://www.visitlapinjarvi.com/luonto-ja-retkeily.html,-,
,Myrskylä,https://myrskyla.fi/vapaa-aika-kirjasto/liikunta-ja-liikuntaneuvonta/ulkoilureitit/,Lassen polku,
,Lahankoski,https://www.suomenvesiputoukset.fi/vesiputoukset/suomen-vesiputoukset-luettelossa/lahankoski/,Short section of river rapids,
,Laukkoski,https://www.laukkoski.fi/kartat-ja-esitteet/,-,
,Kukuljärven reitti,http://luontopolkumies.blogspot.com/2020/05/kukuljarven-vaellusreitti-loviisassa.html,Loviisa,"https://www.google.com/maps/@60.51073,26.43613,15z"
,Askolan hiidenkirnut,http://hiidenkirnut.fi/,-,
Hollola,,,,
,Kellolanlähde,https://retkipaikka.fi/turkoosin-lahteen-taikaa-hollolassa/,-,"https://www.google.com/maps/@60.8922953,25.3799954,17z"
Inkoo,,,,
,Bjursin luonnosuojelualue,,-,"https://www.google.com/maps/@59.9647070,23.8876450,17z"
Varsinais-Suomi,Urtmäki Caves,,,"https://www.google.com/maps/@60.3402163,22.4326614,17z"
,Luolavuoren pääluola,,,"https://www.google.com/maps/@60.4301212,21.0580444,17z"
